dataset,num_beams,n_edges,propagation_steps,metric,mean,std,n_seeds
beauty,10,10,2,ndcg@10,0.006608514919592529,0.0004891395079512432,10
beauty,10,10,2,ndcg@5,0.005650092601211075,0.00044840268600884205,10
beauty,10,10,2,recall@10,0.010781201091087957,0.0008005971934689325,10
beauty,10,10,2,recall@5,0.007825425926754013,0.0006102189476802075,10
beauty,10,20,2,ndcg@10,0.013513981707752943,0.0008120480013926386,10
beauty,10,20,2,ndcg@5,0.0115678540622325,0.0009107326410784471,10
beauty,10,20,2,recall@10,0.02234941644680946,0.0010706726244254629,10
beauty,10,20,2,recall@5,0.016285829271564637,0.0011920358817661919,10
beauty,10,50,0,ndcg@10,0.00036100798587554287,0.00010188756344397765,10
beauty,10,50,0,ndcg@5,0.00024335134681326723,8.905771022920806e-05,10
beauty,10,50,0,recall@10,0.000773599248759111,0.00018139537541565738,10
beauty,10,50,0,recall@5,0.0004069221481912087,0.00014972498029599708,10
beauty,10,50,1,ndcg@10,0.0075692867905425235,0.000570294698988214,10
beauty,10,50,1,ndcg@5,0.006686422988297298,0.0005129435293515642,10
beauty,10,50,1,recall@10,0.011899119080624245,0.0008730773296056425,10
beauty,10,50,1,recall@5,0.009153512498323123,0.000642860627485174,10
beauty,10,50,2,ndcg@10,0.028916747921434182,0.0006923664641908804,10
beauty,10,50,2,ndcg@5,0.02430201344155713,0.0006827253120979864,10
beauty,10,50,2,recall@10,0.048727809327907705,0.0009277566903097061,10
beauty,10,50,2,recall@5,0.03435138398247105,0.0008476017204602098,10
beauty,10,50,3,ndcg@10,0.039611679235740556,0.0004965439296212387,10
beauty,10,50,3,ndcg@5,0.032904388557759554,0.0005125668110357582,10
beauty,10,50,3,recall@10,0.06775477350981532,0.0008274405763963941,10
beauty,10,50,3,recall@5,0.0468854804811519,0.0007450550425453456,10
beauty,10,50,4,ndcg@10,0.042376028377185786,0.0002942676134437491,10
beauty,10,50,4,ndcg@5,0.03521226540674961,0.0002868383819135379,10
beauty,10,50,4,recall@10,0.0725171041452399,0.0004141765037488269,10
beauty,10,50,4,recall@5,0.050225819433886335,0.0004324157907130831,10
beauty,10,50,5,ndcg@10,0.04291466368573118,0.00030146448573018094,10
beauty,10,50,5,ndcg@5,0.03566927742068916,0.0002910533997460327,10
beauty,10,50,5,recall@10,0.07346062692840853,0.0004445760558614897,10
beauty,10,50,5,recall@5,0.0509055135715244,0.0004609655450711473,10
beauty,10,100,2,ndcg@10,0.03851945384139479,0.000801923810278386,10
beauty,10,100,2,ndcg@5,0.03207010876000719,0.0007014874362622063,10
beauty,10,100,2,recall@10,0.06569780440906856,0.0011566571131678362,10
beauty,10,100,2,recall@5,0.045637884004829404,0.0007994168932642869,10
beauty,10,200,2,ndcg@10,0.04417365685132643,0.0003207005661741223,10
beauty,10,200,2,ndcg@5,0.03657888529051535,0.0003786771140307253,10
beauty,10,200,2,recall@10,0.07583955641014176,0.00048253555892139335,10
beauty,10,200,2,recall@5,0.0522336001430935,0.0006279652710207027,10
beauty,10,300,2,ndcg@10,0.04575772338887849,0.00030112895694535597,10
beauty,10,300,2,ndcg@5,0.03772291730843977,0.00027874785675248236,10
beauty,10,300,2,recall@10,0.07873272816706167,0.0005969863496246417,10
beauty,10,300,2,recall@5,0.05379421365648616,0.00045893676514303905,10
beauty,20,50,2,ndcg@10,0.03722241288651956,0.0005637806140969325,10
beauty,20,50,2,ndcg@5,0.03103214121299849,0.0005127212074623051,10
beauty,20,50,2,recall@10,0.06329204489558646,0.0008983498817759814,10
beauty,20,50,2,recall@5,0.04401019541206457,0.0006728343379261822,10
beauty,30,50,2,ndcg@10,0.041082018230408426,0.0005518700566948676,10
beauty,30,50,2,ndcg@5,0.03415762920747027,0.0006440589756194973,10
beauty,30,50,2,recall@10,0.07001296784867862,0.0006775234796605179,10
beauty,30,50,2,recall@5,0.04846398068237714,0.0007790354729949834,10
beauty,40,50,2,ndcg@10,0.04282974794294467,0.000510943669700598,10
beauty,40,50,2,ndcg@5,0.03548404879174047,0.0004319499033780384,10
beauty,40,50,2,recall@10,0.07345615525645038,0.0008210386971001918,10
beauty,40,50,2,recall@5,0.05063274158207754,0.0006735768989489073,10
beauty,50,50,2,ndcg@10,0.04450364293789536,0.00015534399750103054,10
beauty,50,50,2,ndcg@5,0.03686262398181264,0.00027506864781513753,10
beauty,50,50,2,recall@10,0.0763582703572866,0.00026429561041960983,10
beauty,50,50,2,recall@5,0.052591333899745116,0.0005433689681521579,10
cds_and_vinyl,10,10,2,ndcg@10,0.0015337321917082926,6.670914136628607e-05,10
cds_and_vinyl,10,10,2,ndcg@5,0.0014065823568551786,6.473631979881732e-05,10
cds_and_vinyl,10,10,2,recall@10,0.0021858141327167875,8.930100522494156e-05,10
cds_and_vinyl,10,10,2,recall@5,0.0017911717026761276,6.162809581590827e-05,10
cds_and_vinyl,10,20,2,ndcg@10,0.0032033944596275865,0.00012411311645228992,10
cds_and_vinyl,10,20,2,ndcg@5,0.002922408213812848,0.0001360596859415336,10
cds_and_vinyl,10,20,2,recall@10,0.004622764357277632,0.00016146270475945006,10
cds_and_vinyl,10,20,2,recall@5,0.003755082516144463,0.00017518623384727412,10
cds_and_vinyl,10,50,0,ndcg@10,7.345890322627229e-05,1.9736100203017313e-05,10
cds_and_vinyl,10,50,0,ndcg@5,5.028754826758378e-05,1.8869697923519008e-05,10
cds_and_vinyl,10,50,0,recall@10,0.00015413643732227803,3.609193049237443e-05,10
cds_and_vinyl,10,50,0,recall@5,8.238326822397619e-05,2.9246191358117724e-05,10
cds_and_vinyl,10,50,1,ndcg@10,0.0019275088178325496,0.00013885756241438008,10
cds_and_vinyl,10,50,1,ndcg@5,0.001781779479114333,0.0001373129365870103,10
cds_and_vinyl,10,50,1,recall@10,0.0026708124053256795,0.00015821636769062654,10
cds_and_vinyl,10,50,1,recall@5,0.002215046905312392,0.0001467732863230829,10
cds_and_vinyl,10,50,2,ndcg@10,0.007663880459238205,0.00017480930808525975,10
cds_and_vinyl,10,50,2,ndcg@5,0.006947149409558822,0.00016441089457539432,10
cds_and_vinyl,10,50,2,recall@10,0.011540301363310213,0.00027484297223758034,10
cds_and_vinyl,10,50,2,recall@5,0.009322596933216402,0.00019898928493097522,10
cds_and_vinyl,10,50,3,ndcg@10,0.014320935205735123,0.00032658519422001144,10
cds_and_vinyl,10,50,3,ndcg@5,0.012536613379788439,0.0003244408880718839,10
cds_and_vinyl,10,50,3,recall@10,0.023054027478806242,0.00046182856831121657,10
cds_and_vinyl,10,50,3,recall@5,0.01752770469584629,0.0003992409541607837,10
cds_and_vinyl,10,50,4,ndcg@10,0.01872539244844245,0.0004760525359945941,10
cds_and_vinyl,10,50,4,ndcg@5,0.01609755848402512,0.00043450344092161593,10
cds_and_vinyl,10,50,4,recall@10,0.031086396130643918,0.0006688617332343779,10
cds_and_vinyl,10,50,4,recall@5,0.022950384012330915,0.0005107550920726854,10
cds_and_vinyl,10,50,5,ndcg@10,0.020979697516602294,0.00042487362500834665,10
cds_and_vinyl,10,50,5,ndcg@5,0.017935796193811186,0.00038381384803433237,10
cds_and_vinyl,10,50,5,recall@10,0.03513912142230726,0.0006173384878852658,10
cds_and_vinyl,10,50,5,recall@5,0.025699593398708444,0.00043822083152082595,10
cds_and_vinyl,10,100,2,ndcg@10,0.013199759491274868,0.0003094452525957074,10
cds_and_vinyl,10,100,2,ndcg@5,0.011691285757914076,0.00027393958034817724,10
cds_and_vinyl,10,100,2,recall@10,0.020675542799436605,0.0004930963848872798,10
cds_and_vinyl,10,100,2,recall@5,0.016008929283265565,0.00034175580407003637,10
cds_and_vinyl,10,200,2,ndcg@10,0.02040116823662217,0.0003558658675481803,10
cds_and_vinyl,10,200,2,ndcg@5,0.017741587064347877,0.0003598596433156784,10
cds_and_vinyl,10,200,2,recall@10,0.03324962130271865,0.0005484729558346825,10
cds_and_vinyl,10,200,2,recall@5,0.025016609529883865,0.0005558982447115638,10
