dataset,num_beams,n_edges,propagation_steps,metric,mean,std,n_seeds
beauty,10,200,3,ndcg@10,0.04644436255775048,0.00020455938840476686,10
beauty,10,200,3,ndcg@5,0.038289950479309914,0.00020934770787423235,10
beauty,10,200,3,recall@10,0.08002056969100747,0.00029605485349373534,10
beauty,10,200,3,recall@5,0.05475562312748737,0.0002937948597300168,10
beauty,20,200,3,ndcg@10,0.046886093904313954,8.68162062225882e-05,10
beauty,20,200,3,ndcg@5,0.03859731710933165,7.314932405628421e-05,10
beauty,20,200,3,recall@10,0.08078075392389214,0.00021211002505265805,10
beauty,20,200,3,recall@5,0.05505969682064124,0.00015208068017928057,10
beauty,50,200,3,ndcg@10,0.0469842936277752,2.6176188212397122e-05,10
beauty,50,200,3,ndcg@5,0.03866159233654387,1.746733160038149e-05,10
beauty,50,200,3,ndcg@50,0.06743001097749364,4.345434651039288e-05,10
beauty,50,200,3,recall@10,0.08104011089746456,6.682619139191335e-05,10
beauty,50,200,3,recall@5,0.05523856369896704,3.0181485387050236e-05,10
beauty,50,200,3,recall@50,0.17514644725662926,0.00018712283475949987,10
beauty,100,200,3,ndcg@10,0.046978214275179675,5.394440675487824e-06,10
beauty,100,200,3,ndcg@100,0.07627334881488791,1.6330238017504426e-05,10
beauty,100,200,3,ndcg@5,0.03866443777480951,0.0,10
beauty,100,200,3,ndcg@50,0.0675076133193214,1.1735427587512003e-05,10
beauty,100,200,3,recall@10,0.08099092250592498,1.885422444912451e-05,10
beauty,100,200,3,recall@100,0.22971426016187452,9.296585806622376e-05,10
beauty,100,200,3,recall@5,0.055225148683092605,0.0,10
beauty,100,200,3,recall@50,0.17549970934132272,5.9808322221938876e-05,10
beauty,200,30,3,ndcg@10,0.04674156460390798,5.522275880486744e-05,10
beauty,200,30,3,ndcg@100,0.0756835406865272,6.22237418034065e-05,10
beauty,200,30,3,ndcg@5,0.038593060325404556,6.859435193285658e-05,10
beauty,200,30,3,ndcg@50,0.06705511838873368,6.325674067109566e-05,10
beauty,200,30,3,recall@10,0.08043643518311497,0.00011887136214507515,10
beauty,200,30,3,recall@100,0.22728167061664356,0.00020551320866579446,10
beauty,200,30,3,recall@5,0.055126771900013416,9.139924408923001e-05,10
beauty,200,30,3,recall@50,0.17392120914009748,0.00013693671484572313,10
beauty,200,50,3,ndcg@10,0.046989632498539394,2.149587079561368e-05,10
beauty,200,50,3,ndcg@100,0.07620862986337242,5.548227797209334e-05,10
beauty,200,50,3,ndcg@5,0.0386797127373257,1.187495260127533e-05,10
beauty,200,50,3,ndcg@50,0.0674771818061802,3.446725684165373e-05,10
beauty,200,50,3,recall@10,0.08102222420963198,6.81430902273852e-05,10
beauty,200,50,3,recall@100,0.2293252247015159,0.0003019620447370077,10
beauty,200,50,3,recall@5,0.055260922058757767,2.8281336673689692e-05,10
beauty,200,50,3,recall@50,0.17532531413495506,0.0001696880200421206,10
beauty,200,100,3,ndcg@10,0.04697938194131188,6.3101248776890895e-06,10
beauty,200,100,3,ndcg@100,0.07625223340004601,1.7375193589284474e-05,10
beauty,200,100,3,ndcg@5,0.03866962741127393,8.356108575739094e-06,10
beauty,200,100,3,ndcg@50,0.0674998999840031,1.2054550594362988e-05,10
beauty,200,100,3,recall@10,0.08099539417788311,2.1600227676950037e-05,10
beauty,200,100,3,recall@100,0.22958011000313017,0.00010634267305660506,10
beauty,200,100,3,recall@5,0.05523856369896704,2.1600227676953388e-05,10
beauty,200,100,3,recall@50,0.17545499262174127,6.682619139190994e-05,10
beauty,200,200,1,ndcg@10,0.04602961452679595,0.00030714252850028005,10
beauty,200,200,1,ndcg@100,0.07449831133163216,0.00030386805291447456,10
beauty,200,200,1,ndcg@5,0.037962433475504105,0.0003023953641319118,10
beauty,200,200,1,ndcg@50,0.06598324805134306,0.0003280362501059044,10
beauty,200,200,1,recall@10,0.07942583732057416,0.0004156490645663736,10
beauty,200,200,1,recall@100,0.2238876716004114,0.0006050267452934878,10
beauty,200,200,1,recall@5,0.05439341769887761,0.0003578579482042701,10
beauty,200,200,1,recall@50,0.17123373429325225,0.0006106011250756434,10
beauty,200,200,2,ndcg@10,0.046975093020771484,0.0,10
beauty,200,200,2,ndcg@100,0.07626617404483636,3.591073764382996e-08,10
beauty,200,200,2,ndcg@5,0.03866443777480951,0.0,10
beauty,200,200,2,ndcg@50,0.06750932289656845,2.5378885134595565e-08,10
beauty,200,200,2,recall@10,0.08098197916200868,0.0,10
beauty,200,200,2,recall@100,0.22966507177033493,0.0,10
beauty,200,200,2,recall@5,0.055225148683092605,0.0,10
beauty,200,200,2,recall@50,0.17551312435719715,0.0,10
beauty,200,200,3,ndcg@10,0.046975093020771484,0.0,10
beauty,200,200,3,ndcg@100,0.07626616861004046,3.693891039736107e-08,10
beauty,200,200,3,ndcg@5,0.03866443777480951,0.0,10
beauty,200,200,3,ndcg@50,0.06750932289656845,2.5378885134595565e-08,10
beauty,200,200,3,recall@10,0.08098197916200868,0.0,10
beauty,200,200,3,recall@100,0.22966507177033493,0.0,10
beauty,200,200,3,recall@5,0.055225148683092605,0.0,10
beauty,200,200,3,recall@50,0.17551312435719715,0.0,10
beauty,200,200,5,ndcg@10,0.046975093020771484,0.0,10
beauty,200,200,5,ndcg@100,0.07626616861004046,3.693891039736107e-08,10
beauty,200,200,5,ndcg@5,0.03866443777480951,0.0,10
beauty,200,200,5,ndcg@50,0.06750932289656845,2.5378885134595565e-08,10
beauty,200,200,5,recall@10,0.08098197916200868,0.0,10
beauty,200,200,5,recall@100,0.22966507177033493,0.0,10
beauty,200,200,5,recall@5,0.055225148683092605,0.0,10
beauty,200,200,5,recall@50,0.17551312435719715,0.0,10
beauty,200,500,3,ndcg@10,0.046975093020771484,0.0,10
beauty,200,500,3,ndcg@100,0.07626613497145034,0.0,10
beauty,200,500,3,ndcg@5,0.03866443777480951,0.0,10
beauty,200,500,3,ndcg@50,0.06750931103674206,0.0,10
beauty,200,500,3,recall@10,0.08098197916200868,0.0,10
beauty,200,500,3,recall@100,0.22966507177033493,0.0,10
beauty,200,500,3,recall@5,0.055225148683092605,0.0,10
beauty,200,500,3,recall@50,0.17551312435719715,0.0,10
cds_and_vinyl,10,500,5,ndcg@10,0.03874412333956748,0.00015134746840951267,10
cds_and_vinyl,10,500,5,ndcg@5,0.031979850363527365,0.00016048626774915024,10
cds_and_vinyl,10,500,5,recall@10,0.0681588668314332,0.0003376817233600174,10
cds_and_vinyl,10,500,5,recall@5,0.04714714714714715,0.00023685290560362547,10
cds_and_vinyl,20,500,5,ndcg@10,0.04024721766047881,0.00010567596061676729,10
cds_and_vinyl,20,500,5,ndcg@5,0.0330726204409753,0.00011016855148721437,10
cds_and_vinyl,20,500,5,recall@10,0.07112865077466847,0.00018219071993411904,10
cds_and_vinyl,20,500,5,recall@5,0.04885194929442717,0.00018699967075557473,10
cds_and_vinyl,50,500,5,ndcg@10,0.04114590331414266,7.728595212553773e-05,10
cds_and_vinyl,50,500,5,ndcg@5,0.033788094768085974,8.064492548771455e-05,10
cds_and_vinyl,50,500,5,ndcg@50,0.05812596802280526,6.046041512918403e-05,10
cds_and_vinyl,50,500,5,recall@10,0.07272980945547317,0.00010046591921313777,10
cds_and_vinyl,50,500,5,recall@5,0.049883068909617585,0.00010186215411964895,10
cds_and_vinyl,50,500,5,recall@50,0.15011028727842887,0.00016322097117195855,10
cds_and_vinyl,100,500,5,ndcg@10,0.04122216979956411,9.776831845270941e-05,10
cds_and_vinyl,100,500,5,ndcg@100,0.06403768677539179,8.99437692929847e-05,10
cds_and_vinyl,100,500,5,ndcg@5,0.03386671404774061,8.850583759403388e-05,10
cds_and_vinyl,100,500,5,ndcg@50,0.058074770974111505,8.538912282472651e-05,10
cds_and_vinyl,100,500,5,recall@10,0.07284275425868346,0.00014447639170409547,10
cds_and_vinyl,100,500,5,recall@100,0.1863908155943554,0.0002538365137056303,10
cds_and_vinyl,100,500,5,recall@5,0.04999335618804645,9.252699196909802e-05,10
cds_and_vinyl,100,500,5,recall@50,0.14961997395625715,0.00011826068220990526,10
cds_and_vinyl,200,500,5,ndcg@10,0.0413711313795342,4.788503252452981e-05,10
cds_and_vinyl,200,500,5,ndcg@100,0.06378892998883126,7.28985999598819e-05,10
cds_and_vinyl,200,500,5,ndcg@5,0.033986388840791686,4.0230786857570176e-05,10
cds_and_vinyl,200,500,5,ndcg@50,0.05805415926220637,6.0281833988938945e-05,10
cds_and_vinyl,200,500,5,recall@10,0.07309920540009035,8.589694921185264e-05,10
cds_and_vinyl,200,500,5,recall@100,0.18440431582024502,0.00025377854295700035,10
cds_and_vinyl,200,500,5,recall@5,0.05016210901166653,5.512540351580649e-05,10
cds_and_vinyl,200,500,5,recall@50,0.14905126365303356,0.00016117083851838074,10
sports_and_outdoors,10,30,5,ndcg@10,0.01864888248594164,0.000297951278476039,10
sports_and_outdoors,10,30,5,ndcg@5,0.015201458360708272,0.00021765402220196378,10
sports_and_outdoors,10,30,5,recall@10,0.03297938086409349,0.0005200083666466211,10
sports_and_outdoors,10,30,5,recall@5,0.022197876285184562,0.0002654441206794693,10
sports_and_outdoors,20,30,5,ndcg@10,0.02189381300852174,0.00026937393140429906,10
sports_and_outdoors,20,30,5,ndcg@5,0.01781420593258638,0.00024331597534294565,10
sports_and_outdoors,20,30,5,recall@10,0.03895443564245182,0.00029523523236027466,10
sports_and_outdoors,20,30,5,recall@5,0.02618405528400472,0.00020956978237411683,10
sports_and_outdoors,50,30,5,ndcg@10,0.02442255568016084,0.00015359035133372792,10
sports_and_outdoors,50,30,5,ndcg@5,0.019829309792878676,0.0002013223925570912,10
sports_and_outdoors,50,30,5,ndcg@50,0.03627321073757483,0.00020892500705708544,10
sports_and_outdoors,50,30,5,recall@10,0.04355300859598854,0.00019335782158758427,10
sports_and_outdoors,50,30,5,recall@5,0.02915894151356818,0.00029905649048956505,10
sports_and_outdoors,50,30,5,recall@50,0.09842125962132704,0.0004533869368442452,10
sports_and_outdoors,100,30,5,ndcg@10,0.025295346449235763,0.00010843218202662422,10
sports_and_outdoors,100,30,5,ndcg@100,0.043809382867123936,0.0001321537938552419,10
sports_and_outdoors,100,30,5,ndcg@5,0.020608173954137905,8.655290143337274e-05,10
sports_and_outdoors,100,30,5,ndcg@50,0.0377619810596203,0.00010171346052291632,10
sports_and_outdoors,100,30,5,recall@10,0.045095230069105006,0.00020687478053153728,10
sports_and_outdoors,100,30,5,recall@100,0.14020450587111635,0.00041834387519315314,10
sports_and_outdoors,100,30,5,recall@5,0.030420248328557786,0.00011578622353053269,10
sports_and_outdoors,100,30,5,recall@50,0.10281757402101241,0.00027088810212681167,10
sports_and_outdoors,200,30,1,ndcg@10,0.014114830082732309,0.0004336448923423531,10
sports_and_outdoors,200,30,1,ndcg@100,0.023449033136469666,0.0005146075887136473,10
sports_and_outdoors,200,30,1,ndcg@5,0.011637133522826412,0.00040640126229549774,10
sports_and_outdoors,200,30,1,ndcg@50,0.020479134354106,0.0005026505992886733,10
sports_and_outdoors,200,30,1,recall@10,0.024639024664306983,0.0007526614211605427,10
sports_and_outdoors,200,30,1,recall@100,0.07225967750997248,0.0013441602499025859,10
sports_and_outdoors,200,30,1,recall@5,0.016933535591887185,0.0006081151747881692,10
sports_and_outdoors,200,30,1,recall@50,0.05391595033428844,0.0011720161435334589,10
sports_and_outdoors,200,30,2,ndcg@10,0.024959676327769145,0.00019150233301761023,10
sports_and_outdoors,200,30,2,ndcg@100,0.043066973579543394,0.0001664633668909081,10
