dataset,m,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
pet_supplies,4,0.001,0.03,n_visited_items,3945.8993326822915,12.533417296297458,3,0.030729884281754494,0.0009315630183098618
pet_supplies,4,0.001,0.03,ndcg@10,0.024960193162163097,0.0007612602782497079,3,0.030729884281754494,0.0009315630183098618
pet_supplies,4,0.001,0.03,ndcg@5,0.019037866964936256,0.0008538585856134135,3,0.030729884281754494,0.0009315630183098618
pet_supplies,4,0.001,0.03,recall@10,0.048667069524526596,0.000277375170631152,3,0.030729884281754494,0.0009315630183098618
pet_supplies,4,0.001,0.03,recall@5,0.030217566216985386,0.000781838122924981,3,0.030729884281754494,0.0009315630183098618
pet_supplies,4,0.001,0.05,n_visited_items,3894.2591959635415,19.359445532259,3,0.030864934126536053,0.0008891170656199535
pet_supplies,4,0.001,0.05,ndcg@10,0.02399856535096963,0.0012411371628792643,3,0.030864934126536053,0.0008891170656199535
pet_supplies,4,0.001,0.05,ndcg@5,0.018098382279276848,0.0009718909751439096,3,0.030864934126536053,0.0008891170656199535
pet_supplies,4,0.001,0.05,recall@10,0.04700510328014692,0.002930712126859052,3,0.030864934126536053,0.0008891170656199535
pet_supplies,4,0.001,0.05,recall@5,0.028605963413914044,0.0019453273197627256,3,0.030864934126536053,0.0008891170656199535
pet_supplies,4,0.001,0.07,n_visited_items,3856.8243001302085,3.0432563453221047,3,0.030841556067268055,0.0006507283384917129
pet_supplies,4,0.001,0.07,ndcg@10,0.02401856767634551,0.000462977527929421,3,0.030841556067268055,0.0006507283384917129
pet_supplies,4,0.001,0.07,ndcg@5,0.01803826540708542,6.979195845160947e-05,3,0.030841556067268055,0.0006507283384917129
pet_supplies,4,0.001,0.07,recall@10,0.047508729000886284,0.0010758451431537482,3,0.030841556067268055,0.0006507283384917129
pet_supplies,4,0.001,0.07,recall@5,0.028840988874435425,0.0004679479414363438,3,0.030841556067268055,0.0006507283384917129
pet_supplies,4,0.003,0.03,n_visited_items,3921.38134765625,12.28411628675851,3,0.03141591201225916,0.0008330570587794811
pet_supplies,4,0.003,0.03,ndcg@10,0.024909761423865955,0.0013453982893994697,3,0.03141591201225916,0.0008330570587794811
pet_supplies,4,0.003,0.03,ndcg@5,0.019097748522957165,0.0012870247882592588,3,0.03141591201225916,0.0008330570587794811
pet_supplies,4,0.003,0.03,recall@10,0.0484320434431235,0.002415480596348694,3,0.03141591201225916,0.0008330570587794811
pet_supplies,4,0.003,0.03,recall@5,0.030301505078872044,0.0018886542679802147,3,0.03141591201225916,0.0008330570587794811
pet_supplies,4,0.003,0.05,n_visited_items,3883.337158203125,11.50623833118533,3,0.030855146547158558,0.0008812568689721991
pet_supplies,4,0.003,0.05,ndcg@10,0.025121293341120083,0.0003933044100218787,3,0.030855146547158558,0.0008812568689721991
pet_supplies,4,0.003,0.05,ndcg@5,0.019216394672791164,0.0006886872003471466,3,0.030855146547158558,0.0008812568689721991
pet_supplies,4,0.003,0.05,recall@10,0.048667069524526596,0.0007338666161335576,3,0.030855146547158558,0.0008812568689721991
pet_supplies,4,0.003,0.05,recall@5,0.030234354237715404,0.0005901953575094125,3,0.030855146547158558,0.0008812568689721991
pet_supplies,4,0.003,0.07,n_visited_items,3842.764404296875,1.8465014633443546,3,0.03159366734325886,0.0006377863448479227
pet_supplies,4,0.003,0.07,ndcg@10,0.025505848228931427,0.0006637882580497472,3,0.03159366734325886,0.0006377863448479227
pet_supplies,4,0.003,0.07,ndcg@5,0.019306751588980358,0.00043507703000424504,3,0.03159366734325886,0.0006377863448479227
pet_supplies,4,0.003,0.07,recall@10,0.04992613444725672,0.0010758438933660653,3,0.03159366734325886,0.0006377863448479227
pet_supplies,4,0.003,0.07,recall@5,0.030603680138786633,0.0005094675105777393,3,0.03159366734325886,0.0006377863448479227
pet_supplies,4,0.01,0.03,n_visited_items,3910.7977701822915,5.744658629144225,3,0.031548177202542625,0.00043688312451356634
pet_supplies,4,0.01,0.03,ndcg@10,0.02563395785788695,0.0008089253810869464,3,0.031548177202542625,0.00043688312451356634
pet_supplies,4,0.01,0.03,ndcg@5,0.01993068555990855,0.0006315396973714484,3,0.031548177202542625,0.00043688312451356634
pet_supplies,4,0.01,0.03,recall@10,0.04891888300577799,0.0012421648538196584,3,0.031548177202542625,0.00043688312451356634
pet_supplies,4,0.01,0.03,recall@5,0.03125839369992415,0.0006553595276778347,3,0.031548177202542625,0.00043688312451356634
pet_supplies,4,0.01,0.05,n_visited_items,3881.8173014322915,7.282716764355401,3,0.03200714538494746,0.0003017965038797703
pet_supplies,4,0.01,0.05,ndcg@10,0.02530946706732114,0.0012056994762840228,3,0.03200714538494746,0.0003017965038797703
pet_supplies,4,0.01,0.05,ndcg@5,0.019355349242687225,0.00109179716117443,3,0.03200714538494746,0.0003017965038797703
pet_supplies,4,0.01,0.05,recall@10,0.04890209436416626,0.001764848927159208,3,0.03200714538494746,0.0003017965038797703
pet_supplies,4,0.01,0.05,recall@5,0.030301503837108612,0.0014677332322671152,3,0.03200714538494746,0.0003017965038797703
pet_supplies,4,0.01,0.07,n_visited_items,3851.968017578125,4.763050190491163,3,0.03156412827471892,0.0006025018329576061
pet_supplies,4,0.01,0.07,ndcg@10,0.025754202778140705,0.0003556946443361504,3,0.03156412827471892,0.0006025018329576061
pet_supplies,4,0.01,0.07,ndcg@5,0.019851047545671463,0.00021189429914946642,3,0.03156412827471892,0.0006025018329576061
pet_supplies,4,0.01,0.07,recall@10,0.04940572132666906,0.001051602163058127,3,0.03156412827471892,0.0006025018329576061
pet_supplies,4,0.01,0.07,recall@5,0.03098979281882445,0.000629699988890195,3,0.03156412827471892,0.0006025018329576061
pet_supplies,8,0.001,0.03,n_visited_items,4001.0100911458335,9.108301434253095,3,0.039187509566545486,0.00029977381933520545
pet_supplies,8,0.001,0.03,ndcg@10,0.030134132131934166,0.0007309336294502073,3,0.039187509566545486,0.00029977381933520545
pet_supplies,8,0.001,0.03,ndcg@5,0.023463286459445953,0.0005776434791468118,3,0.039187509566545486,0.00029977381933520545
pet_supplies,8,0.001,0.03,recall@10,0.056540424625078835,0.001417627269377721,3,0.039187509566545486,0.00029977381933520545
pet_supplies,8,0.001,0.03,recall@5,0.035774242132902145,0.0011049196738313466,3,0.039187509566545486,0.00029977381933520545
pet_supplies,8,0.001,0.05,n_visited_items,3955.0120442708335,3.518154822109244,3,0.039107112834850945,0.00040453711390818844
pet_supplies,8,0.001,0.05,ndcg@10,0.03041164142390092,0.0001864635823330648,3,0.039107112834850945,0.00040453711390818844
pet_supplies,8,0.001,0.05,ndcg@5,0.02383635441462199,0.00022641116356022516,3,0.039107112834850945,0.00040453711390818844
pet_supplies,8,0.001,0.05,recall@10,0.057564464708169304,0.0016710993055987868,3,0.039107112834850945,0.00040453711390818844
pet_supplies,8,0.001,0.05,recall@5,0.03715081885457039,0.0008031734066332128,3,0.039107112834850945,0.00040453711390818844
pet_supplies,8,0.001,0.07,n_visited_items,3910.6079915364585,6.512349951498805,3,0.03888591254750887,0.0002451391426408074
pet_supplies,8,0.001,0.07,ndcg@10,0.03036679079135259,0.00032157132426817464,3,0.03888591254750887,0.0002451391426408074
